cve_ent,alcaldia,cve_col,colonia,pob_2010,SUP_COL_M2,VIV2010,T_AV_M2,M2_AV_HAB,C_M2AVHAB,INUNDACION,INT_NUM_IN,C_INUNDA,S_EPMA_1,C_EPMA_1
09,AZCAPOTZALCO,02-001,AGUILERA,2014,103825,680,5598.16,2.77962,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-002,ALDANA,3378,154812,1088,3521.13,1.04237,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-005,ANGEL ZIMBRON,2737,242232,1067,16817.3,6.14443,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-006,ARENAL,4817,286075,1493,4504.14,0.935051,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-007,CENTRO DE AZCAPOTZALCO,3043,424471,1118,52057.6,17.1073,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-008,CLAVERIA,9570,867158,3563,36274.2,3.79041,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-009,COLTONGO,4173,520813,1147,1669.93,0.400175,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-011,COSMOPOLITA (AMPL),992,76121.6,303,6792.15,6.84693,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-013,CUITLÁHUAC 1 Y 2 (U HAB),2449,114279,915,67708.5,27.6474,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-014,CUITLÁHUAC 3 Y 4 (U HAB),4371,185092,1752,116728,26.7051,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-015,DEL GAS,4857,345622,2060,22133.5,4.55703,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-016,DEL GAS (AMPL),1254,327181,535,28404.1,22.6508,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-017,DEL MAESTRO,718,50526.4,234,2729.79,3.80194,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-018,DEL RECREO,9261,527590,3282,20152.9,2.1761,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-020,ECOLOGICA NOVEDADES IMPACTO (U HAB),367,20904.6,120,9563.08,26.0574,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-021,EL JAGUEY-ESTACION PANTACO,1413,1745360,256,122232,86.5053,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-023,EL ROSARIO A (U HAB),6577,275425,1744,50622.8,7.69694,2,Alto,73 a 99,4,6,3
09,AZCAPOTZALCO,02-024,EL ROSARIO B (U HAB),10761,361955,3087,95760.3,8.89883,2,Alto,73 a 99,4,6,3
09,AZCAPOTZALCO,02-025,EL ROSARIO C (U HAB),9016,1038140,2561,383550,42.541,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-026,EUZKADI,4428,248260,1385,41670.8,9.41075,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-027,EX-HACIENDA EL ROSARIO,2286,507370,684,304256,133.095,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-028,FERRERIA,1639,167984,1155,3879.62,2.36707,4,Alto,73 a 99,4,8,4
09,AZCAPOTZALCO,02-029,FERRERIA (U HAB),3207,41751,1154,1.81127,5.64786e-4,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-030,FRANCISCO VILLA (U HAB),3674,259544,1137,19591.6,5.3325,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-032,HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,3739,301073,1363,14546.2,3.8904,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-033,HOGARES FERROCARRILEROS (U HAB),1514,38860.7,490,16576.2,10.9486,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-035,IGNACIO ALLENDE,1601,97973,500,20399.1,12.7415,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-036,INDUSTRIAL VALLEJO,428,3729280,372,10846.1,25.3414,1,Medio,50 a 72,3,4,2
09,AZCAPOTZALCO,02-037,ISSFAM LAS ARMAS (U HAB),1543,84692.5,635,50333.7,32.6207,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-038,JARDIN AZPEITIA,2688,255714,912,17270.1,6.42489,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-040,LA PRECIOSA,3750,190641,1152,11533.7,3.07565,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-041,LA RAZA,2488,215377,836,10943.2,4.39839,3,Medio,50 a 72,3,6,3
09,AZCAPOTZALCO,02-043,LIBERACION,2450,119521,871,2339.88,0.955053,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-044,LIBERTAD,1163,103419,425,8673.42,7.4578,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-045,LOS REYES (BARR),3437,168473,1204,1012.13,0.294481,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-046,MANUEL RIVERA ANAYA CROC I (U HAB),2898,89457.4,826,62663.1,21.6229,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-047,MIGUEL HIDALGO (U HAB),2818,71225.6,823,15710.1,5.57491,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-049,NEXTENGO (BARR),2415,208811,797,3643.72,1.50879,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-050,NUEVA EL ROSARIO,279,75928.3,56,8198.01,29.3835,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-052,NUEVA SANTA MARIA,10194,717965,3813,69324.1,6.80048,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-053,NUEVO SAN RAFAEL (BARR),2786,71065.2,727,3792,1.36109,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-054,OBRERO POPULAR,4853,348704,1703,21806.9,4.49349,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-056,PASTEROS,6267,322526,1983,14274.4,2.27771,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-058,PEMEX PRADOS DEL ROSARIO (U HAB),3191,89283.3,1092,50737.8,15.9003,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-059,PETROLERA,3071,276497,1018,44637.8,14.5353,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-003,PETROLERA (AMPL),1491,135856,529,6868.27,4.60649,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-060,PLENITUD,4176,303537,1338,32352.1,7.74715,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-061,PORVENIR,3479,156151,995,2646.39,0.760675,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-063,PRADOS DEL ROSARIO,2133,246440,650,36025.6,16.8896,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-064,PRESIDENTE MADERO (U HAB),4941,203037,1462,57264.6,11.5897,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-113,PRO HOGAR I,5644,315901,1835,13265,2.35028,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-066,PROVIDENCIA,7276,908775,2197,347022,47.6941,1,Alto,73 a 99,4,5,2
09,AZCAPOTZALCO,02-067,REYNOSA TAMAULIPAS,7490,305308,2341,786.646,0.105026,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-069,SAN  MIGUEL AMANTLA (PBLO),8305,464250,2347,56053.4,6.74936,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-070,SAN ALVARO,6743,361983,2417,19045.8,2.82453,3,Medio,50 a 72,3,6,3
09,AZCAPOTZALCO,02-071,SAN ANDRES (BARR),7072,277411,2136,5980.27,0.845626,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-072,SAN ANDRES (PBLO),6493,240471,1915,3654.39,0.56282,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-073,SAN ANDRES DE LAS SALINAS (PBLO),241,76340.7,65,1049.69,4.35556,3,Medio,50 a 72,3,6,3
09,AZCAPOTZALCO,02-074,SAN ANTONIO (FRACC),4164,438074,1220,28001.9,6.72476,2,Muy Alto,100,5,7,4
09,AZCAPOTZALCO,02-075,SAN BARTOLO CAHUALTONGO (PBLO),3042,124347,948,3480.2,1.14405,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-076,SAN BERNABE (BARR),912,94485.4,268,4401.74,4.82647,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-077,SAN FRANCISCO TETECALA (PBLO),2780,239960,926,7609.54,2.73724,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-078,SAN FRANCISCO XOCOTITLA,1779,113750,559,6390.01,3.59191,3,Muy Alto,100,5,8,4
09,AZCAPOTZALCO,02-079,SAN JUAN TLIHUACA (PBLO),10379,713742,3178,144618,13.9337,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-080,SAN MARCOS (BARR),4815,250125,1606,2501.65,0.519553,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-081,SAN MARTIN XOCHINAHUAC (PBLO),5608,1461190,1698,248349,44.2848,1,Muy Alto,100,5,6,3
09,AZCAPOTZALCO,02-082,SAN MATEO,2065,81086.8,760,51.6173,0.0249963,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-084,SAN PABLO XALPA (U HAB),5093,115317,1437,3260.73,0.640238,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-111,SAN PEDRO XALPA (AMPL) I,11243,448934,3123,3358.38,0.298709,4,Alto,73 a 99,4,8,4
09,AZCAPOTZALCO,02-085,SAN PEDRO XALPA (PBLO),8315,339459,2756,8858.03,1.06531,4,Muy Alto,100,5,9,5
09,AZCAPOTZALCO,02-086,SAN RAFAEL,2127,121511,626,767.363,0.360772,4,Muy Alto,100,5,9,5
