,cve_ent,alcaldia,cve_col,colonia,pob_2010,SUP_COL_M2,VIV2010,T_AV_M2,M2_AV_HAB,C_M2AVHAB,INUNDACION,INT_NUM_IN,C_INUNDA,S_EPMA_1,C_EPMA_1,geometry
0,09,AZCAPOTZALCO,02-001,Aguilera,2014,103825,680,5598.16,2.77962,3,Muy Alto,100,5,8,4,
1,09,AZCAPOTZALCO,02-002,Aldana,3378,154812,1088,3521.13,1.04237,4,Muy Alto,100,5,9,5,
2,09,AZCAPOTZALCO,02-005,Angel Zimbron,2737,242232,1067,16817.3,6.14443,2,Muy Alto,100,5,7,4,
3,09,AZCAPOTZALCO,02-006,Arenal,4817,286075,1493,4504.14,0.935051,4,Muy Alto,100,5,9,5,
4,09,AZCAPOTZALCO,02-007,Centro De Azcapotzalco,3043,424471,1118,52057.6,17.1073,1,Muy Alto,100,5,6,3,
5,09,AZCAPOTZALCO,02-008,Claveria,9570,867158,3563,36274.2,3.79041,3,Muy Alto,100,5,8,4,
6,09,AZCAPOTZALCO,02-009,Coltongo,4173,520813,1147,1669.93,0.400175,4,Muy Alto,100,5,9,5,
7,09,AZCAPOTZALCO,02-011,Cosmopolita (Ampl),992,76121.6,303,6792.15,6.84693,2,Muy Alto,100,5,7,4,
8,09,AZCAPOTZALCO,02-013,Cuitlahuac 1 Y 2 (U Hab),2449,114279,915,67708.5,27.6474,1,Muy Alto,100,5,6,3,
9,09,AZCAPOTZALCO,02-014,Cuitlahuac 3 Y 4 (U Hab),4371,185092,1752,116728,26.7051,1,Muy Alto,100,5,6,3,
10,09,AZCAPOTZALCO,02-015,Del Gas,4857,345622,2060,22133.5,4.55703,3,Muy Alto,100,5,8,4,
11,09,AZCAPOTZALCO,02-016,Del Gas (Ampl),1254,327181,535,28404.1,22.6508,1,Muy Alto,100,5,6,3,
12,09,AZCAPOTZALCO,02-017,Del Maestro,718,50526.4,234,2729.79,3.80194,3,Muy Alto,100,5,8,4,
13,09,AZCAPOTZALCO,02-018,Del Recreo,9261,527590,3282,20152.9,2.1761,4,Muy Alto,100,5,9,5,
14,09,AZCAPOTZALCO,02-020,Ecologica Novedades Impacto (U Hab),367,20904.6,120,9563.08,26.0574,1,Alto,73 a 99,4,5,2,
15,09,AZCAPOTZALCO,02-021,El Jaguey-Estacion Pantaco,1413,1745360,256,122232,86.5053,1,Muy Alto,100,5,6,3,
16,09,AZCAPOTZALCO,02-023,El Rosario A (U Hab),6577,275425,1744,50622.8,7.69694,2,Alto,73 a 99,4,6,3,
17,09,AZCAPOTZALCO,02-024,El Rosario B (U Hab),10761,361955,3087,95760.3,8.89883,2,Alto,73 a 99,4,6,3,
18,09,AZCAPOTZALCO,02-025,El Rosario C (U Hab),9016,1038140,2561,383550,42.541,1,Muy Alto,100,5,6,3,
19,09,AZCAPOTZALCO,02-026,Euzkadi,4428,248260,1385,41670.8,9.41075,2,Muy Alto,100,5,7,4,
20,09,AZCAPOTZALCO,02-027,Ex-Hacienda El Rosario,2286,507370,684,304256,133.095,1,Alto,73 a 99,4,5,2,
21,09,AZCAPOTZALCO,02-028,Ferreria,1639,167984,1155,3879.62,2.36707,4,Alto,73 a 99,4,8,4,
22,09,AZCAPOTZALCO,02-029,Ferreria (U Hab),3207,41751,1154,1.81127,5.64786e-4,4,Muy Alto,100,5,9,5,
23,09,AZCAPOTZALCO,02-030,Francisco Villa (U Hab),3674,259544,1137,19591.6,5.3325,2,Muy Alto,100,5,7,4,
24,09,AZCAPOTZALCO,02-032,Hogar Y Seguridad/Nueva Santa Maria,3739,301073,1363,14546.2,3.8904,3,Muy Alto,100,5,8,4,
25,09,AZCAPOTZALCO,02-033,Hogares Ferrocarrileros (U Hab),1514,38860.7,490,16576.2,10.9486,2,Muy Alto,100,5,7,4,
26,09,AZCAPOTZALCO,02-035,Ignacio Allende,1601,97973,500,20399.1,12.7415,1,Muy Alto,100,5,6,3,
27,09,AZCAPOTZALCO,02-036,Industrial Vallejo (U Hab),428,3729280,372,10846.1,25.3414,1,Medio,50 a 72,3,4,2,
28,09,AZCAPOTZALCO,02-037,Issfam Las Armas (U Hab),1543,84692.5,635,50333.7,32.6207,1,Alto,73 a 99,4,5,2,
29,09,AZCAPOTZALCO,02-038,Jardin Azpeitia,2688,255714,912,17270.1,6.42489,2,Muy Alto,100,5,7,4,
30,09,AZCAPOTZALCO,02-040,La Preciosa,3750,190641,1152,11533.7,3.07565,3,Muy Alto,100,5,8,4,
31,09,AZCAPOTZALCO,02-041,La Raza,2488,215377,836,10943.2,4.39839,3,Medio,50 a 72,3,6,3,
32,09,AZCAPOTZALCO,02-043,Liberacion,2450,119521,871,2339.88,0.955053,4,Muy Alto,100,5,9,5,
33,09,AZCAPOTZALCO,02-044,Libertad,1163,103419,425,8673.42,7.4578,2,Muy Alto,100,5,7,4,
34,09,AZCAPOTZALCO,02-045,Los Reyes (Barr),3437,168473,1204,1012.13,0.294481,4,Muy Alto,100,5,9,5,
35,09,AZCAPOTZALCO,02-046,Manuel Rivera Anaya Croc I (U Hab),2898,89457.4,826,62663.1,21.6229,1,Alto,73 a 99,4,5,2,
36,09,AZCAPOTZALCO,02-047,Miguel Hidalgo (U Hab),2818,71225.6,823,15710.1,5.57491,2,Muy Alto,100,5,7,4,
37,09,AZCAPOTZALCO,02-049,Nextengo (Barr),2415,208811,797,3643.72,1.50879,4,Muy Alto,100,5,9,5,
38,09,AZCAPOTZALCO,02-050,Nueva El Rosario,279,75928.3,56,8198.01,29.3835,1,Muy Alto,100,5,6,3,
39,09,AZCAPOTZALCO,02-052,Nueva Santa Maria,10194,717965,3813,69324.1,6.80048,2,Muy Alto,100,5,7,4,
40,09,AZCAPOTZALCO,02-053,Nuevo San Rafael (Barr),2786,71065.2,727,3792,1.36109,4,Muy Alto,100,5,9,5,
41,09,AZCAPOTZALCO,02-054,Obrero Popular,4853,348704,1703,21806.9,4.49349,3,Muy Alto,100,5,8,4,
42,09,AZCAPOTZALCO,02-056,Pasteros,6267,322526,1983,14274.4,2.27771,4,Muy Alto,100,5,9,5,
43,09,AZCAPOTZALCO,02-058,Pemex Prados Del Rosario (U Hab),3191,89283.3,1092,50737.8,15.9003,1,Alto,73 a 99,4,5,2,
44,09,AZCAPOTZALCO,02-059,Petrolera,3071,276497,1018,44637.8,14.5353,1,Muy Alto,100,5,6,3,
45,09,AZCAPOTZALCO,02-003,Petrolera (Ampl),1491,135856,529,6868.27,4.60649,3,Muy Alto,100,5,8,4,
46,09,AZCAPOTZALCO,02-060,Plenitud,4176,303537,1338,32352.1,7.74715,2,Muy Alto,100,5,7,4,
47,09,AZCAPOTZALCO,02-061,Porvenir,3479,156151,995,2646.39,0.760675,4,Muy Alto,100,5,9,5,
48,09,AZCAPOTZALCO,02-063,Prados Del Rosario,2133,246440,650,36025.6,16.8896,1,Alto,73 a 99,4,5,2,
