,Alcaldia,% pob extrema,% pob moderada,% pobreza total,% total sin pobreza,poblacion pob extrema,poblacion pob moderada,poblacion pobre total,pob total sin pob,POB TOTAL,pPOB TOTAL
0,Azcapotzalco,5.28,14.71,19.99,80.01,22720,63246,85966,343984,429 950,429950
1,Coyoacán ,4.55,11.69,16.24,83.76,27626,70951,98577,508239,606 816,606816
2,Cuajimalpa de Morelos,7.81,16.68,24.5,75.5,16816,35914,52730,162529,215 259,215259
3,Gustavo A. Madero,5.92,16.6,22.52,77.48,68747,192780,261527,899797,1 161 324,1161324
4,Iztacalco,5.33,14.63,19.96,80.04,21428,58873,80301,322070,402 371,402371
5,Iztapalapa,9.07,19.76,28.83,71.17,164459,358380,522839,1290969,1 813 808,1813808
6,La Magdalena Contreras,9.3,19.09,28.39,71.61,22777,46738,69515,175329,244 844,244844
7,Milpa Alta,9.84,22.21,32.05,67.95,15016,33891,48907,103688,152 595,152595
8,Álvaro Obregón,7.52,17.65,25.18,74.82,55912,131226,187138,556152,743 290,743290
9,Tláhuac   ,8.62,19.94,28.57,71.43,33557,77619,111176,278020,389 196,389196
10,Tlalpan,7.64,17.24,24.88,75.12,52856,119359,172215,520058,692 273,692273
11,Xochimilco,8.87,19.74,28.61,71.39,38630,86026,124656,311073,435 729,435729
12,Benito Juárez ,3.09,5.0,8.08,91.92,13220,21400,34620,393596,428 216,428216
13,Cuauhtémoc  ,5.44,11.14,16.58,83.42,28716,58839,87555,440571,528 126,528126
14,Miguel Hidalgo,4.29,10.51,14.81,85.19,17323,42397,59720,343623,403 343,403343
15,Venustiano Carranza,5.74,16.79,22.53,77.47,25375,74214,99589,342367,441 956,441956
