,nombre,domicilio,alcaldia,latitud,longitud,Colonia name,nivel escolar
0,Telesecundaria 63,"Admon U Hab Campaña Del Ebano Y C Celaya S/N, Unidad Hab Vicente Guerrero, Delegacion Iztapalapa, Mexico Df.",Iztapalapa,19.35316300009,-99.0542419998,Vicente Guerrero Super Manzana 6 (U Hab),Secundaria
1,Preescolar General Con Servicio Asistencial - Valentin Zamora Orozco,"Playa Flamingos No 1, Militar Marte, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.37922441798,-99.12558263181,Militar Marte,Preescolar
2,Preescolar General - Estado De Zacatecas,"Canal De San Juan Y Sur 14 C, Agricola Oriental, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.39268897307,-99.05933678879,Agricola Oriental Vi,Preescolar
3,Primaria General - Profra. Amanda Palafox Y Baz,"Monte Elbruz No 15, Los Volcanes, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.26976212813,-99.17674771482,Los Volcanes,Primaria
4,Primaria General - Valentin Zamora Orozco,"Retorno 33 Y 34 S/N, Avante, Delegacion Coyoacan, Mexico Df.",Coyoacán,19.32847431855964,-99.130933191929,Avante,Primaria
5,Primaria General - Vidal Alcocer,"Magisterio Nacional No 102, Tlalpan, Delegacion Tlalpan, Mexico Df.",Tlalpan,19.2827919998681,-99.1667329999,Tlalpan Centro,Primaria
6,Preescolar General Con Servicio Asistencial - Ma. Cruz Manjarrez,"Antonio Hgo Y Candido Aguilar, Constitucion 1917, Delegacion Iztapalapa, Mexico Df.",Iztapalapa,19.34847620105,-99.05855823319,Constitucion De 1917 Ii,Preescolar
7,"Lactante, Maternal Y Preescolar - Cendi Sep No 14 Gibran Jalil Gibran","Josefa Ortiz De Dominguez S/N, La Guadalupita, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.26504900026,-99.10150500027,La Guadalupita (Barr),Preescolar
8,Preescolar General - Yoliliztli,"Av. Juarez S/N Esq. Acuexcomac, Pueblo San Luis Tlaxialtemalco, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.25881521822,-99.03398273404,San Luis Tlaxialtemalco (Pblo),Preescolar
9,Primaria General - Chichen Itza,"Av 5 De Mayo S/N, Santiago Tepalcatlapan, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.25074599995,-99.12604100008,Santiago Tepalcatlalpan (Pblo),Primaria
10,Preescolar General - Coconalli,"C. Pino Sur S/N, Pueblo San Mateo Xalpa, Delegacion Xochimilco, Mexico Df.",Xochimilco,19.223587999824,-99.12149599991,Guadalupe,Preescolar
11,Escuela Secundaria Tecnica 33,"Oriente 112 Sur 183, Gabriel Ramos Millan, Delegacion Iztacalco, Mexico Df.",Iztacalco,19.38926398204,-99.09133324308,Cuchilla Ramos Millan,Secundaria
12,Primaria General - Anahuaxochitl,"Pablo L Sidar Entre 35 Y 37 Nte, Moctezuma 2A Seccion, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.437561045673,-99.0951658371,Moctezuma 2a Seccion I,Primaria
13,Primaria General - Presidente Vicente Rocafuerte,"Coxcox S/N Y Rio Churubusco, Arenal 2A Secc, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.42295455935,-99.05634406028,El Arenal 2a Seccion,Primaria
14,Preescolar General - 10 De Abril,"Cerrada Leandro Valle S/N, San Lorenzo Acopilco, Delegacion Cuajimalpa De Morelos, Mexico Df.",Cuajimalpa de Morelos,19.32895800024563,-99.32721599994484,San Lorenzo Acopilco (Pblo),Preescolar
15,Primaria General - Teuhtli,"Av Independencia No 15, Pueblo San Francisco Tecoxpa, Delegacion Milpa Alta, Mexico Df.",Milpa Alta,19.19577099966,-99.00571399979,San Francisco Tecoxpa (Pblo),Primaria
16,Primaria General - Profra. Guadalupe Mayol De Gonzalez,"Sarasate No 94 Bis, Peralvillo, Delegacion Cuauhtemoc, Mexico Df.",Cuauhtémoc,19.45011699976998,-99.13186799993244,Morelos I,Primaria
17,Preescolar General - Enrique Tierno Galvan,"Francisco Espejel No 96, Moctezuma 1A Seccion, Delegacion Venustiano Carranza, Mexico Df.",Venustiano Carranza,19.42820499987,-99.11004700003,Moctezuma 1a Seccion,Preescolar
18,Preescolar General - Itzcalli,"Guadalajara S/N, Miguel Hidalgo, Delegacion Tlahuac, Mexico Df.",Tlalpan,19.28633144867,-99.18545357603,Miguel Hidalgo,Preescolar
