alcaldia,disponibilidad,fuente,poblacion,alcaldia_id
Álvaro Obregón,si,Del servicio público de agua,744504,010
Álvaro Obregón,si,De un pozo comunitario,5020,010
Álvaro Obregón,si,De un pozo particular,170,010
Álvaro Obregón,si,De una pipa,2133,010
Álvaro Obregón,si,De otra vivienda,637,010
Álvaro Obregón,si,De la lluvia,26,010
Álvaro Obregón,si,De otro lugar,308,010
Álvaro Obregón,si,No especificado,901,010
Álvaro Obregón,no,Acarreada de un pozo,19,010
Álvaro Obregón,no,Acarreada de llave comunitaria,412,010
Álvaro Obregón,no,Acarreada de otra vivienda,460,010
Álvaro Obregón,no,"Acarreada de un río, arroyo o lago",3,010
Álvaro Obregón,no,La trae una pipa,633,002
Álvaro Obregón,no,La recolectan de la lluvia,21,002
Álvaro Obregón,no,No especificado,1009,002
Azcapotzalco,si,Del servicio público de agua,426697,002
Azcapotzalco,si,De un pozo comunitario,386,002
Azcapotzalco,si,De un pozo particular,65,002
Azcapotzalco,si,De una pipa,2053,002
Azcapotzalco,si,De otra vivienda,151,002
Azcapotzalco,si,De la lluvia,9,002
Azcapotzalco,si,De otro lugar,54,002
Azcapotzalco,si,No especificado,112,002
Azcapotzalco,no,Acarreada de un pozo,32,014
Azcapotzalco,no,Acarreada de llave comunitaria,442,014
Azcapotzalco,no,Acarreada de otra vivienda,142,014
Azcapotzalco,no,La trae una pipa,292,014
Azcapotzalco,no,La recolectan de la lluvia,6,014
Azcapotzalco,no,No especificado,359,014
Benito Juárez,si,Del servicio público de agua,430889,014
Benito Juárez,si,De un pozo comunitario,112,014
Benito Juárez,si,De un pozo particular,70,014
Benito Juárez,si,De una pipa,328,014
Benito Juárez,si,De otra vivienda,45,014
Benito Juárez,si,De la lluvia,3,014
Benito Juárez,si,De otro lugar,72,003
Benito Juárez,si,No especificado,39,003
Benito Juárez,no,Acarreada de un pozo,5,003
Benito Juárez,no,Acarreada de llave comunitaria,24,003
Benito Juárez,no,Acarreada de otra vivienda,22,003
Benito Juárez,no,La trae una pipa,32,003
Benito Juárez,no,La recolectan de la lluvia,5,003
Benito Juárez,no,No especificado,130,003
Coyoacán,si,Del servicio público de agua,608854,003
Coyoacán,si,De un pozo comunitario,811,003
Coyoacán,si,De un pozo particular,100,003
Coyoacán,si,De una pipa,590,004
Coyoacán,si,De otra vivienda,132,004
Coyoacán,si,De la lluvia,10,004
Coyoacán,si,De otro lugar,135,004
Coyoacán,si,No especificado,126,004
Coyoacán,no,Acarreada de un pozo,10,004
Coyoacán,no,Acarreada de llave comunitaria,80,004
Coyoacán,no,Acarreada de otra vivienda,272,004
Coyoacán,no,La trae una pipa,84,004
Coyoacán,no,La recolectan de la lluvia,6,004
Coyoacán,no,No especificado,170,004
Cuajimalpa de Morelos,si,Del servicio público de agua,199931,004
Cuajimalpa de Morelos,si,De un pozo comunitario,12239,015
Cuajimalpa de Morelos,si,De un pozo particular,261,015
Cuajimalpa de Morelos,si,De una pipa,2001,015
Cuajimalpa de Morelos,si,De otra vivienda,569,015
Cuajimalpa de Morelos,si,De la lluvia,57,015
