Categoría,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,cve_ent,Clave de la Entidad Federativa,Número entero,"Clave de AGEE (Área Geoestadistica Estatal), de acuerdo al Marco Geoestadístico Nacional para la Ciudad de México",Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,alcaldia,"Nombre de la alcaldía
",Texto,"Nombre de AGEM (Área Geoestadistica Municipal), de acuerdo al Marco Geoestadístico Nacional para la Ciudad de México",Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,cve_col,Clave de colonia,Número entero,Clave de colonia conforme al Instituto Nacional Electoral (INE),Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,colonia,Nombre de la colonia,Texto,Nombre de colonia conforme al Instituto Nacional Electoral (INE),Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,OBJECTID,Objectid,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,FREQUENCY,,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,SUM_cons_t,Suma del consumo total de agua por colonia (m3) por bimestre,Número con decimales,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,MEAN_cons_,"Promedio de consumo total de colonia (m3) por bimestre
",Número con decimales,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,VIV2010,"Vivienda censo 2010
",Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,PROMVIVCON,"Promedio de consumo total de agua de la colonia por número de
viviendas",Número con decimales,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Desarrollo Urbano, Vivienda y Territorio",Consumo_prom_agua_col,Consumo habitacional promedio bimestral de agua por colonia (m3) ,Consumo doméstico promedio de agua (m3 por bimestre). Promedio utilizando el consumo total de la colonia entre el número de viviendas,C_PROMVIVC,"Campo reclasificado en cuantiles en 5 rangos a partir de
""PROMVIVCON""; donde el valor ""5"" corresponde a un consumo de agua
muy alto, mientras que el número ""1"" a un consumo bajo",Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
