Categoría,Nombre de la base y/o conjunto de datos,Nombre de la tabla de la base de datos / hoja del conjunto de datos,Descripción de capa,Etiqueta del campo o variable,Descripció de Campo,"Tipo de dato
",Rango o valores que permite el campo,Clasificación de la información,Especificaciones y/o reglas de cálculo,Obligatoriedad del campo,Registro de campos vacíos ,Tipo de archivo:
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",FID_1,Identificador asignado de forma aleatoria,Número consecutivo,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",CLAVECCT,Clave de centro de trabajo,,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",NIVEL,Nivel,Alfanumérico,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",NOMBRE_CT,Nombre del centro de trabajo,Alfanumérico,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",TURNO,Turno,Alfanumérico,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DOMICILIO,Domicilio,Alfanumérico,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",COLONIA,Colonia,Alfanumérico,"El nombre debe corresponder con el código del campo cve_col, de conformidad con el Instituto Electoral de la Ciudad de México",Pública,"El nombre debe corresponder con el código del campo cve_col, de conformidad con el Catalogo  de Unidades Territoriales a partir del Instituto Electoral de la Ciudad de México",Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DELEGACION,Delegación,Alfanumérico,"Claves de Áreas Geoestadísticas municipales, INEGI",Pública,"El nombre debe corresponder con el código del campo MUN, de conformidad con el Catálogo único de claves del Marco geoestadístico del INEGI",Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ZONA,Zona,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",SECTOR,Sector,Número entero,,Pública,,Obligatorio,Con datos vacios,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DIRECCION,Dirección,Alfanumérico,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DEPENDENCI,Dependencia,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",DIRECCIO_A,Dirección académica,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",SOSTENIMIE,Sostenimiento,Alfanumérico,Texto,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_HOM_IN,Alumnos Hombres Educación Inicial,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
"Educación, Ciencia y Tecnología",edu_especial,Escuelas de educación especial en la Ciudad de México,"Contiene la ubicación, nombre y domicilio de las unidad de educación especial y educación inclusiva de la Ciudad de México",ALU_HOM_PR,Alumnos Hombres Educación Primaria,Número entero,,Pública,,Obligatorio,Sin datos vacíos,Shape file (.shp)
