nombre,domicilio,colonia,alcaldia,latitud,longitud
TELESECUNDARIA 63,"ADMON U HAB CAMPAÑA DEL EBANO Y C CELAYA S/N, UNIDAD HAB VICENTE GUERRERO, DELEGACION IZTAPALAPA, MEXICO DF.",VICENTE GUERRERO SUPER MANZANA 6 (U HAB),IZTAPALAPA,19.35316300009,-99.0542419998
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - VALENTIN ZAMORA OROZCO,"PLAYA FLAMINGOS NO 1, MILITAR MARTE, DELEGACION IZTACALCO, MEXICO DF.",MILITAR MARTE,IZTACALCO,19.37922441798,-99.12558263181
PREESCOLAR GENERAL - ESTADO DE ZACATECAS,"CANAL DE SAN JUAN Y SUR 14 C, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF.",AGRICOLA ORIENTAL VI,IZTACALCO,19.39268897307,-99.05933678879
PRIMARIA GENERAL - PROFRA. AMANDA PALAFOX Y BAZ,"MONTE ELBRUZ NO 15, LOS VOLCANES, DELEGACION TLALPAN, MEXICO DF.",LOS VOLCANES,TLALPAN,19.26976212813,-99.17674771482
PRIMARIA GENERAL - VALENTIN ZAMORA OROZCO,"RETORNO 33 Y 34 S/N, AVANTE, DELEGACION COYOACAN, MEXICO DF.",AVANTE,COYOACAN,19.32847431855964,-99.130933191929
PRIMARIA GENERAL - VIDAL ALCOCER,"MAGISTERIO NACIONAL NO 102, TLALPAN, DELEGACION TLALPAN, MEXICO DF.",TLALPAN CENTRO,TLALPAN,19.2827919998681,-99.1667329999
PREESCOLAR GENERAL CON SERVICIO ASISTENCIAL - MA. CRUZ MANJARREZ,"ANTONIO HGO Y CANDIDO AGUILAR, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF.",CONSTITUCION DE 1917 II,IZTAPALAPA,19.34847620105,-99.05855823319
"LACTANTE, MATERNAL Y PREESCOLAR - CENDI SEP NO 14 GIBRAN JALIL GIBRAN","JOSEFA ORTIZ DE DOMINGUEZ S/N, LA GUADALUPITA, DELEGACION XOCHIMILCO, MEXICO DF.",LA GUADALUPITA (BARR),XOCHIMILCO,19.26504900026,-99.10150500027
PREESCOLAR GENERAL - YOLILIZTLI,"AV. JUAREZ S/N ESQ. ACUEXCOMAC, PUEBLO SAN LUIS TLAXIALTEMALCO, DELEGACION XOCHIMILCO, MEXICO DF.",SAN LUIS TLAXIALTEMALCO (PBLO),XOCHIMILCO,19.25881521822,-99.03398273404
PRIMARIA GENERAL - CHICHEN ITZA,"AV 5 DE MAYO S/N, SANTIAGO TEPALCATLAPAN, DELEGACION XOCHIMILCO, MEXICO DF.",SANTIAGO TEPALCATLALPAN (PBLO),XOCHIMILCO,19.25074599995,-99.12604100008
PREESCOLAR GENERAL - COCONALLI,"C. PINO SUR S/N, PUEBLO SAN MATEO XALPA, DELEGACION XOCHIMILCO, MEXICO DF.",GUADALUPE,XOCHIMILCO,19.223587999824,-99.12149599991
ESCUELA SECUNDARIA TECNICA 33,"ORIENTE 112 SUR 183, GABRIEL RAMOS MILLAN, DELEGACION IZTACALCO, MEXICO DF.",CUCHILLA RAMOS MILLAN,IZTACALCO,19.38926398204,-99.09133324308
PRIMARIA GENERAL - ANAHUAXOCHITL,"PABLO L SIDAR ENTRE 35 Y 37 NTE, MOCTEZUMA 2A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,19.437561045673,-99.0951658371
PRIMARIA GENERAL - PRESIDENTE VICENTE ROCAFUERTE,"COXCOX S/N Y RIO CHURUBUSCO, ARENAL 2A SECC, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",EL ARENAL 2A SECCION,VENUSTIANO CARRANZA,19.42295455935,-99.05634406028
PREESCOLAR GENERAL - 10 DE ABRIL,"CERRADA LEANDRO VALLE S/N, SAN LORENZO ACOPILCO, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.",SAN LORENZO ACOPILCO (PBLO),CUAJIMALPA DE MORELOS,19.32895800024563,-99.32721599994484
PRIMARIA GENERAL - TEUHTLI,"AV INDEPENDENCIA NO 15, PUEBLO SAN FRANCISCO TECOXPA, DELEGACION MILPA ALTA, MEXICO DF.",SAN FRANCISCO TECOXPA (PBLO),MILPA ALTA,19.19577099966,-99.00571399979
PRIMARIA GENERAL - PROFRA. GUADALUPE MAYOL DE GONZALEZ,"SARASATE NO 94 BIS, PERALVILLO, DELEGACION CUAUHTEMOC, MEXICO DF.",MORELOS I,CUAUHTEMOC,19.45011699976998,-99.13186799993244
PREESCOLAR GENERAL - ENRIQUE TIERNO GALVAN,"FRANCISCO ESPEJEL NO 96, MOCTEZUMA 1A SECCION, DELEGACION VENUSTIANO CARRANZA, MEXICO DF.",MOCTEZUMA 1A SECCION,VENUSTIANO CARRANZA,19.42820499987,-99.11004700003
PREESCOLAR GENERAL - ITZCALLI,"GUADALAJARA S/N, MIGUEL HIDALGO, DELEGACION TLAHUAC, MEXICO DF.",MIGUEL HIDALGO,TLALPAN,19.28633144867,-99.18545357603
PREESCOLAR GENERAL - LEON FELIPE,"RAFAEL CURIEL Y ALBERTO GONZALEZ, CONSTITUCION 1917, DELEGACION IZTAPALAPA, MEXICO DF.",CONSTITUCION DE 1917 I,IZTAPALAPA,19.34992031715,-99.06703768848
PREESCOLAR GENERAL - MEXIKATZIN,"AV.SAN ISIDRO ALTO LERMA NO 24 M-14 L-1COLONIA, CORPUS CHRISTI, DELEGACION ALVARO OBREGON, MEXICO DF.",CORPUS CHRISTY,ALVARO OBREGON,19.35925300000069,-99.24660600016608
PRIMARIA GENERAL - NIÑOS HEROES,"CALLE SANTA RITA NO 230, LOMAS DEL PADRE, DELEGACION CUAJIMALPA DE MORELOS, MEXICO DF.",LOMA DEL PADRE,CUAJIMALPA DE MORELOS,19.35199199977759,-99.30897399992044
PREESCOLAR GENERAL - CARLOS ALCALDE,"VIRREYES Y PRADO SUR, LOMAS DE CHAPULTEPEC, DELEGACION MIGUEL HIDALGO, MEXICO DF.",NA,NA,NA,NA
SECUNDARIA GENERAL - JOSE GUADALUPE NAJERA JIMENEZ,"CERRO MERCADO Y CERRO SAN FRANCISCO NO 263, CAMPESTRE CHURUBUSCO, DELEGACION COYOACAN, MEXICO DF.",CAMPESTRE CHURUBUSCO,COYOACAN,19.34465400022449,-99.13206300019364
PRIMARIA GENERAL - PRESIDENTE PLUTARCO ELIAS CALLES,"AV PLUTARCO ELIAS CALLES NO 972, REFORMA IXTACCIHUATL, DELEGACION IZTACALCO, MEXICO DF.",REFORMA IZTACCIHUATL NORTE,IZTACALCO,19.39029699996,-99.1323549997
"INTERVENCION TEMPRANA, PREESCOLAR, PRIMARIA Y CAPACITACION LABORAL ESPECIAL - CENTRO DE ATENCION MULTIPLE 12 V","11 DE ABRIL NO  188, TACUBAYA, DELEGACION MIGUEL HIDALGO, MEXICO DF.",NA,NA,NA,NA
PRIMARIA GENERAL - LUIS CASTILLO LEDON,"LAGOS ZURICH Y GINEBRA, 5 DE MAYO, DELEGACION MIGUEL HIDALGO, MEXICO DF.",NA,NA,NA,NA
PRIMARIA GENERAL - ANTONIO GARCIA CUBAS,"CALZ DE LA VIGA NO 865, CONJUNTO HABITACIONAL SANTIAGO, DELEGACION IZTACALCO, MEXICO DF.",SANTIAGO SUR,IZTACALCO,19.38987700039,-99.12216099979
PREESCOLAR GENERAL - AMERICA LATINA,"ORIENTE 233 Y CDA DE ORIENTE 233, AGRICOLA ORIENTAL, DELEGACION IZTACALCO, MEXICO DF.",AGRICOLA ORIENTAL I,IZTACALCO,19.39763921329,-99.07785608844
PRIMARIA GENERAL - DR. SALVADOR ALLENDE,"BLVD DEL TEMOLUCO Y LA ESCOLLERA, CONJ HAB ACUEDUCTO DE GUADALUPE, DELEGACION GUSTAVO A. MADERO, MEXICO DF.",ACUEDUCTO DE GUADALUPE (U HAB),GUSTAVO A. MADERO,19.5248360004,-99.14830900008
