"long","lat","Expediente","Pueblo","Colonia_Ba","Territoria","Alcaldia","Fecha_de_I","Instalado"
-99.101716,19.348128,"3-VESAJO-IZA-20","NO APLICA","VALLE DE LUCES","LOS CULHUACANES","IZTAPALAPA",2020-08-18,"Programa SCALL"
-99.101154,19.375799,"11-ARCAKA-IZA-20","NO APLICA","SAN JOSE ACULCO","ACULCO","IZTAPALAPA",2020-10-03,"Programa SCALL"
-99.051573,19.319776,"20-PAMAMA-IZA-20","NO APLICA","EL TRIANGULO","SANTA CRUZ QUETZALCOATL","IZTAPALAPA",2020-11-18,"Programa SCALL"
-99.071098,19.374533,"23-COLOLU-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-09-25,"Programa SCALL"
-99.02527,19.326348,"30-SASONO-IZA-20","NO APLICA","BUENAVISTA","SANTA CATARINA","IZTAPALAPA",2020-10-02,"Programa SCALL"
-99.070635,19.3588,"32-REBRJO-IZA-20","NO APLICA","LEYES DE REFORMA 1A SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-08-06,"Programa SCALL"
-99.03142,19.35395,"33-VIROCO-IZA-20","NO APLICA","SANTA MARIA AZTAHUACAN","AZTAHUACAN","IZTAPALAPA",2020-07-23,"Programa SCALL"
-99.009208,19.360335,"35-CALUGE-IZA-20","NO APLICA","SANTA MARTHA ACATITLA","ACATITLA DE ZARAGOZA","IZTAPALAPA",2020-08-01,"Programa SCALL"
-99.008831,19.344343,"36-MACHMA-IZA-20","NO APLICA","SANTIAGO ACAHUALTEPEC 2A AMP.","TEOTONGO ACAHUALTEPC","IZTAPALAPA",2020-08-24,"Programa SCALL"
-99.075554,19.38011,"41-GAMOHE-IZA-20","NO APLICA","LEYES DE REFORMA 3ERA SECCION","LEYES DE REFORMA","IZTAPALAPA",2020-08-13,"Programa SCALL"
-99.074656,19.290586,"44-RODEAL-IZA-20","NO APLICA","CELOALLIOTLI (U HAB)","SAN LORENZO TEZONCO","IZTAPALAPA",2020-08-17,"Programa SCALL"
