_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud
1,1-MEMEMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219028,-98.991283
2,2-RUCOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21988,-99.002227
3,3-GAALRA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-07-21T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.218343,-98.997507
4,4-BLROAN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219277,-98.996269
5,8-BALOMO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-19T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222071,-98.99776
6,9-ANROJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219022,-98.9974
7,10-GAPIJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-09-03T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21849,-98.99119
8,11-ROMEEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219421,-98.996233
9,12-COCALE-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21988,-99.002227
10,13-GAGOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-03T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220248,-98.997127
11,14-RAAVRO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220915,-98.996576
12,15-BAVAJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,2022-05-14T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220554,-98.996161
13,16-GAMASI-MIA-22,SANTA ANA TLACOTENCO,BARRIO LA LUPITA XOLCO,NO APLICA,2022-05-25T00:00:00,2500,MILPA ALTA,SANTA ANA TLACOTENCO (PBLO),19.179889,-99.006285
14,17-PESATE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-14T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.218739,-99.001828
15,18-HEJIJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-19T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221383,-98.997973
16,19-HEMELE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-05T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220085,-98.998196
4214,798-SABAAD-TLN-22,NO APLICA,ZACATON,NO APLICA,2022-06-04T00:00:00,2500,TLALPAN,EL ZACATON,19.268509,-99.241868
17,20-MAMERA-MIA-22,PUEBLO SAN JUAN TEPENAHUAC,NO APLICA,NO APLICA,2022-06-04T00:00:00,2500,MILPA ALTA,SAN JUAN TEPENAHUAC (PBLO),19.188557,-98.996908
18,21-FLJUEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-07T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220312,-98.997036
19,22-ROIBRE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-05T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219783,-98.996297
20,23-JUFLMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21854,-98.997689
21,24-MERAMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-27T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.22017,-98.996293
22,26-ABMADU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-07-26T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220917,-99.001469
23,28-MEJUEN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-21T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220766,-99.001656
24,29-ROJOJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220795,-98.999396
25,30-GUROAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-21T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.218878,-98.996861
26,31-FLMAJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222122,-99.001422
27,33-OLHEAB-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-27T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.218078,-98.997522
28,34-VAORCL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.22201,-98.998646
29,35-GRGOMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-06-01T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220947,-98.997023
30,36-FLESAN-MIA-22,PUEBLO SAN SALVADOR CUAUHTENCO,SAN SALVADOR CUAUHTENCO- ZE,NO APLICA,2022-11-28T00:00:00,2500,MILPA ALTA,SAN SALVADOR CUAUHTENCO (PBLO),19.196844,-99.090491
31,37-JIESMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-27T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220889,-98.997075
32,38-SARIIG-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220839,-99.001513
356,449-RAVAER-MIA-22,PUEBLO SAN LORENZO TLACOYUCAN,NO APLICA,NO APLICA,2022-06-01T00:00:00,2500,NA,NA,19.170414,-99.030948
33,39-SUROFE-MIA-22,SAN ANTONIO TECOMITL,BARRIO TECAXTITLA,NO APLICA,2022-06-18T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221773,-99.000796
34,41-BLROMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-05T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221014,-99.000671
35,43-DUABPE-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222324,-99.001821
36,44-CRCOES-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-21T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222692,-98.999567
37,45-CAGOMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-14T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220846,-98.999951
38,47-CAGOJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221224,-98.994043
39,49-ALOSMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-07-21T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.217548,-98.99344
40,51-RILEBL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-05T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219438,-98.996254
41,52-ROMEVI-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219503,-98.996544
42,53-DIHECA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222642,-98.999271
43,55-MOPIAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-19T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221102,-98.990169
44,57-ORRAYA-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220364,-98.996646
45,58-TOVIGU-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-27T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220378,-98.997318
46,59-BAMOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,1100,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.221505,-98.994137
