,_id,expediente,pueblo,scall_col,territorial,fecha_instalacion,capacidad,alcaldia,colonia_datos,latitud,longitud,geometry,Colonia name
0,1,1-MEMEMA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219028,-98.991283,POINT (-98.991283 19.219028),['San Antonio Tecomitl (Pblo)']
1,2,2-RUCOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21988,-99.002227,POINT (-99.002227 19.21988),['San Antonio Tecomitl (Pblo)']
2,3,3-GAALRA-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-07-21T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.218343,-98.997507,POINT (-98.997507 19.218343),['San Antonio Tecomitl (Pblo)']
3,4,4-BLROAN-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219277,-98.996269,POINT (-98.996269 19.219277),['San Antonio Tecomitl (Pblo)']
4,5,8-BALOMO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-19T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.222071,-98.99776,POINT (-98.99776 19.222071),['San Antonio Tecomitl (Pblo)']
5,6,9-ANROJO-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219022,-98.9974,POINT (-98.9974 19.219022),['San Antonio Tecomitl (Pblo)']
6,7,10-GAPIJU-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-09-03T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21849,-98.99119,POINT (-98.99119 19.21849),['San Antonio Tecomitl (Pblo)']
7,8,11-ROMEEL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-02T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.219421,-98.996233,POINT (-98.996233 19.219421),['San Antonio Tecomitl (Pblo)']
8,9,12-COCALE-MIA-22,SAN ANTONIO TECOMITL,BARRIO XALTIPAC,NO APLICA,2022-05-07T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.21988,-99.002227,POINT (-99.002227 19.21988),['San Antonio Tecomitl (Pblo)']
9,10,13-GAGOAL-MIA-22,SAN ANTONIO TECOMITL,BARRIO TENANTITLA,NO APLICA,2022-05-03T00:00:00,2500,MILPA ALTA,SAN ANTONIO TECOMITL (PBLO),19.220248,-98.997127,POINT (-98.997127 19.220248),['San Antonio Tecomitl (Pblo)']
